p_DA,p_H,h_H,p_IM,E_RE,E_FC,lambda_DA_RE,lambda_IM
8.089725036179487,10.0,154.4133708970593,-12.648548565591252,5.441176470588235,5.299129916074445,26.2,26.199301
-3.60430266820744,10.0,154.4133708970593,-2.229030665125893,4.166666666666667,4.54932034055156,26.95,23.498949
0.44439165108896717,10.0,154.4133708970593,-1.963999494226222,8.480392156862745,10.0,28.95,23.498949
-10.0,10.0,154.4133708970593,1.9607843137254903,1.96078431372549,2.139318038178697,43.29,43.288593
-6.74920815618362,10.0,154.4133708970593,-3.25079184381638,0.0,0.0,47.4,47.399338
-10.0,10.0,154.4133708970593,0.7843137254901968,0.7843137254901961,0.0,40.63,93.669296
-10.0,10.0,154.4133708970593,1.8137254901960773,1.8137254901960782,0.6691062193620451,36.26,107.050621
-10.0,10.0,154.4133708970593,6.1764705882352935,6.176470588235294,6.731908860068519,32.05,291.712952
-10.0,10.0,154.4133708970593,8.774509803921568,8.774509803921568,8.877574353895877,28.64,291.712952
-2.6319489275514147,10.0,154.4133708970593,1.8476352020612197,9.215686274509805,9.257801312051834,28.45,80.060486
-8.064205608616835,10.0,154.4133708970593,4.387735020381541,6.323529411764706,5.785985533068475,28.23,28.229248
-5.654298863086122,10.0,154.4133708970593,0.31116160818416105,4.656862745098039,4.244639879503265,28.85,28.848804
10.0,10.0,154.4133708970593,-15.392156862745098,4.607843137254902,8.784457028798853,35.55,35.548836
1.9565392131077353,10.0,154.4133708970593,-3.8192843111469514,8.137254901960784,8.269747138252384,43.92,43.918854
-3.8787289504367215,10.0,154.4133708970593,2.947356401417114,9.068627450980392,8.384434713771947,45.61,45.608917
-10.0,10.0,154.4133708970593,7.2058823529411775,7.205882352941177,6.3504162277415945,30.01,33.999279
-10.0,10.0,154.4133708970593,6.078431372549019,6.078431372549019,6.862069197450424,27.6,33.999279
-3.821905055475839,10.0,154.4133708970593,0.0473952515542706,6.2254901960784315,5.5338904001564515,35.58,35.579613
-10.0,10.0,154.4133708970593,8.03921568627451,8.03921568627451,7.201201706834315,36.34,36.339672
-10.0,10.0,154.4133708970593,7.352941176470587,7.352941176470589,5.859475357512707,26.07,28.698933
3.1372535666359704,10.0,154.4133708970593,-7.156861409773225,5.980392156862745,5.509453182446984,35.01,35.009567
2.543897044179739,10.0,154.4133708970593,-7.102720573591505,5.441176470588235,4.945203954666096,34.0,33.999279
-2.5137735514638595,10.0,154.4133708970593,-1.9470107622616304,5.53921568627451,3.880657176716658,26.15,29.404129
-6.83759222127138,10.0,154.4133708970593,1.935631436957653,5.098039215686274,5.527515824360299,25.75,27.099865
8.089725036179487,10.0,154.4133708970593,-14.756391702846155,3.333333333333333,3.7137177806503354,25.41,26.999504
2.0375997451800627,10.0,154.4133708970593,-9.194462490278102,2.84313725490196,3.2286905212088177,25.32,22.00024
-10.0,10.0,154.4133708970593,2.0098039215686274,2.009803921568627,0.0,25.46,22.00024
-10.0,10.0,154.4133708970593,0.9313725490196063,0.931372549019607,0.956353321544902,25.41,22.00024
-10.0,10.0,154.4133708970593,2.2058823529411757,2.205882352941176,2.718775278179723,25.67,24.399513
-8.327985547434267,10.0,154.4133708970593,2.0534757435126973,3.725490196078431,2.343550011337797,25.93,22.00024
-10.0,10.0,154.4133708970593,5.392156862745097,5.3921568627450975,3.992968886709507,25.85,27.99909
